	VideoNum	Duration	Fulltitle	Id	View_count	Format	Format_id	Format_note	Filesize	Acodec	Vcodec	Tbr	Abr	Ext	Container	Width	Height	Fps	Manifest_url	Fragments
453661	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	251 - audio only (DASH audio)	251	DASH audio	1778022	opus	none	128.665	160	webm	0	0	0	0	0	0
453662	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	278 - 256x144 (144p)	278	144p	1266066	none	vp9	96.389	0	webm	webm	256	144	25	0	0
453663	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	160 - 256x144 (144p)	160	144p	804020	none	avc1.4d400c	110.815	0	mp4	0	256	144	25	0	0
453664	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	242 - 426x240 (240p)	242	240p	1985502	none	vp9	221.176	0	webm	0	426	240	25	0	0
453665	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	133 - 426x240 (240p)	133	240p	1536728	none	avc1.4d4015	245.415	0	mp4	0	426	240	25	0	0
453666	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	243 - 640x360 (360p)	243	360p	3631876	none	vp9	407.11400000000003	0	webm	0	640	360	25	0	0
453667	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	134 - 640x360 (360p)	134	360p	3498167	none	avc1.4d401e	553.815	0	mp4	0	640	360	25	0	0
453668	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	244 - 854x480 (480p)	244	480p	6117871	none	vp9	757.025	0	webm	0	854	480	25	0	0
453669	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	135 - 854x480 (480p)	135	480p	6756576	none	avc1.4d401e	1015.701	0	mp4	0	854	480	25	0	0
453670	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	247 - 1280x720 (720p)	247	720p	12408642	none	vp9	1477.375	0	webm	0	1280	720	25	0	0
453671	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	136 - 1280x720 (720p)	136	720p	12288995	none	avc1.4d401f	1668.2320000000002	0	mp4	0	1280	720	25	0	0
453672	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	17 - 176x144 (small)	17	small	1226886	mp4a.40.2	mp4v.20.3	0.0	24	3gp	0	176	144	0	0	0
453673	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	36 - 320x180 (small)	36	small	3450884	mp4a.40.2	mp4v.20.3	0.0	0	3gp	0	320	180	0	0	0
453674	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	18 - 640x360 (medium)	18	medium	7087314	mp4a.40.2	avc1.42001E	0.0	96	mp4	0	640	360	0	0	0
453675	22475	121	F 22不愧为世界第一战斗机，起飞，超快破音障，20要加油！	PLevvcC5Xbk	165009	43 - 640x360 (medium)	43	medium	9266788	vorbis	vp8.0	0.0	128	webm	0	640	360	0	0	0
